product_category_name,product_category_name_english,total_orders,total_revenue
cama_mesa_banho,bed_bath_table,8687,1018515.655
esporte_lazer,sports_leisure,6714,750787.09
beleza_saude,health_beauty,7279,745148.75
informatica_acessorios,computers_accessories,5750,679254.9
moveis_decoracao,furniture_decor,5344,596116.165
relogios_presentes,watches_gifts,4225,585595.24
utilidades_domesticas,housewares,5012,488389.18
cool_stuff,cool_stuff,2925,392244.21
brinquedos,toys,3324,348693.865
automotivo,auto,3175,343217.08
