customer_city,Total Pelanggan per Kota,Total Pelanggan Aktif,Total Pelanggan Tidak Aktif,Persentase Aktif,Persentase Tidak Aktif
sao paulo,15540,15044.0,496.0,96.8082368082368,3.191763191763192
rio de janeiro,6882,6603.0,279.0,95.94594594594594,4.054054054054054
belo horizonte,2773,2697.0,76.0,97.25928597187162,2.740714028128381
brasilia,2131,2071.0,60.0,97.184420459878,2.8155795401220085
curitiba,1521,1489.0,32.0,97.89612097304405,2.10387902695595
campinas,1444,1406.0,38.0,97.36842105263158,2.631578947368421
porto alegre,1379,1341.0,38.0,97.24437998549674,2.755620014503263
salvador,1245,1188.0,57.0,95.42168674698796,4.578313253012048
guarulhos,1189,1143.0,46.0,96.13120269133726,3.8687973086627423
sao bernardo do campo,938,911.0,27.0,97.12153518123668,2.878464818763326
